id,name,name_en_us,unit,app,action,sum_for_total_actions,sum_days_of_active,sum_app_actions
meeting_hours_summarized_by_copilot_in_teams,Meeting_hours_summarized_by_Copilot_in_Teams,Meeting hours summarized by Copilot in Teams,Hours,Teams,summarize,No,No,No
compose_chat_message_actions_taken_using_copilot_in_teams,Compose_chat_message_actions_taken_using_Copilot_in_Teams,Compose chat message actions taken using Copilot in Teams,Actions,Teams,generate,Yes,No,No
create_excel_formula_actions_taken_using_copilot,Create_Excel_formula_actions_taken_using_Copilot,Create Excel formula actions taken using Copilot,Actions,Excel,generate,Yes,No,No
create_presentation_actions_taken_using_copilot,Create_presentation_actions_taken_using_Copilot,Create presentation actions taken using Copilot,Actions,PowerPoint,generate,Yes,No,No
draft_word_document_actions_taken_using_copilot,Draft_Word_document_actions_taken_using_Copilot,Draft Word document actions taken using Copilot,Actions,Word,generate,Yes,No,No
email_coaching_actions_taken_using_copilot,Email_coaching_actions_taken_using_Copilot,Email coaching actions taken using Copilot,Actions,Outlook,generate,Yes,No,No
excel_analysis_actions_taken_using_copilot,Excel_analysis_actions_taken_using_Copilot,Excel analysis actions taken using Copilot,Actions,Excel,generate,Yes,No,No
excel_formatting_actions_taken_using_copilot,Excel_formatting_actions_taken_using_Copilot,Excel formatting actions taken using Copilot,Actions,Excel,generate,Yes,No,No
generate_email_draft_actions_taken_using_copilot_in_outlook,Generate_email_draft_actions_taken_using_Copilot_in_Outlook,Generate email draft actions taken using Copilot in Outlook,Actions,Outlook,generate,Yes,No,No
rewrite_text_actions_taken_using_copilot_in_word,Rewrite_text_actions_taken_using_Copilot_in_Word,Rewrite text actions taken using Copilot in Word,Actions,Word,generate,Yes,No,No
summarize_chat_actions_taken_using_copilot_in_teams,Summarize_chat_actions_taken_using_Copilot_in_Teams,Summarize chat actions taken using Copilot in Teams,Actions,Teams,summarize,Yes,No,No
summarize_email_thread_actions_taken_using_copilot_in_outlook,Summarize_email_thread_actions_taken_using_Copilot_in_Outlook,Summarize email thread actions taken using Copilot in Outlook,Actions,Outlook,summarize,Yes,No,No
summarize_meeting_actions_taken_using_copilot_in_teams,Summarize_meeting_actions_taken_using_Copilot_in_Teams,Summarize meeting actions taken using Copilot in Teams,Actions,Teams,summarize,Yes,No,No
summarize_presentation_actions_taken_using_copilot_in_powerpoint,Summarize_presentation_actions_taken_using_Copilot_in_PowerPoint,Summarize presentation actions taken using Copilot in PowerPoint,Actions,PowerPoint,summarize,Yes,No,No
summarize_word_document_actions_taken_using_copilot_in_word,Summarize_Word_document_actions_taken_using_Copilot_in_Word,Summarize Word document actions taken using Copilot in Word,Actions,Word,summarize,Yes,No,No
total_chat_conversations_summarized_by_copilot_in_teams,Total_chat_conversations_summarized_by_Copilot_in_Teams,Total chat conversations summarized by Copilot in Teams,Actions,Teams,summarize,No,No,No
